min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
10,0.25,20,2,15,5,2,2,300,6775,1502,5173,100,22.17,0.54,-3.67,4.57,-2.46,-5863.25,144417.00,1.86,-0.87
10,0.25,20,2,15,5,2,2,600,6780,1505,5175,100,22.20,0.54,-3.65,4.58,-2.46,-5843.75,144047.00,1.86,-0.86
10,0.25,20,2,15,5,3,2,300,6776,1827,4854,95,26.96,0.54,-3.95,4.68,-3.29,-7403.25,175169.00,1.42,-1.09
10,0.25,20,2,15,5,3,2,600,6779,1826,4858,95,26.94,0.54,-3.96,4.68,-3.29,-7420.50,175526.00,1.42,-1.09
10,0.25,20,2,15,6,2,2,300,6770,1374,5307,89,20.30,0.57,-3.31,5.58,-2.54,-5834.50,144116.00,2.19,-0.86
10,0.25,20,2,15,6,2,2,600,6775,1377,5309,89,20.32,0.57,-3.29,5.58,-2.54,-5812.75,143701.00,2.20,-0.86
10,0.25,20,2,15,6,3,2,300,6787,1701,5018,68,25.06,0.59,-3.32,5.87,-3.38,-6961.25,166933.00,1.74,-1.03
10,0.25,20,2,15,6,3,2,600,6791,1702,5021,68,25.06,0.59,-3.32,5.87,-3.38,-6966.75,167059.00,1.74,-1.03
10,0.25,20,2,15,8,2,2,300,6780,1186,5528,66,17.49,0.61,-2.83,7.39,-2.61,-5638.25,140309.00,2.84,-0.83
10,0.25,20,2,15,8,2,2,600,6783,1186,5531,66,17.48,0.61,-2.83,7.41,-2.61,-5635.50,140266.00,2.84,-0.83
10,0.25,20,2,15,8,3,2,300,6736,1484,5211,41,22.03,0.64,-2.78,7.88,-3.51,-6571.25,158673.00,2.25,-0.98
10,0.25,20,2,15,8,3,2,600,6739,1483,5215,41,22.01,0.64,-2.78,7.89,-3.51,-6592.75,159115.00,2.25,-0.98
10,0.25,20,2,15,10,2,2,300,6731,1025,5644,62,15.23,0.64,-2.51,9.34,-2.65,-5362.00,134951.00,3.53,-0.80
10,0.25,20,2,15,10,2,2,600,6733,1026,5645,62,15.24,0.64,-2.50,9.35,-2.65,-5357.00,134859.00,3.53,-0.80
10,0.25,20,2,15,10,3,2,300,6687,1308,5342,37,19.56,0.68,-2.40,9.90,-3.57,-6115.75,150046.00,2.77,-0.91
10,0.25,20,2,15,10,3,2,600,6690,1307,5346,37,19.54,0.68,-2.41,9.90,-3.57,-6137.00,150483.00,2.77,-0.92
10,0.25,20,2,20,5,2,2,300,6783,1508,5176,99,22.23,0.53,-3.72,4.51,-2.46,-5936.25,145909.00,1.83,-0.88
10,0.25,20,2,20,5,2,2,600,6788,1511,5178,99,22.26,0.54,-3.69,4.52,-2.46,-5911.75,145439.00,1.84,-0.87
10,0.25,20,2,20,5,3,2,300,6780,1823,4862,95,26.89,0.53,-4.06,4.62,-3.30,-7606.75,179255.00,1.40,-1.12
10,0.25,20,2,20,5,3,2,600,6783,1822,4866,95,26.86,0.52,-4.07,4.62,-3.30,-7624.00,179612.00,1.40,-1.12
