min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
15,0.25,20,4,25,5,2,2,600,41,13,27,1,31.71,0.94,-0.35,4.08,-2.08,-3.25,507.00,1.96,-0.08
15,0.25,20,4,25,5,2,2,900,41,13,27,1,31.71,0.94,-0.35,4.08,-2.08,-3.25,507.00,1.96,-0.08
15,0.25,20,4,25,5,3,2,600,41,14,27,0,34.15,0.78,-1.63,4.16,-2.77,-16.50,647.00,1.50,-0.40
15,0.25,20,4,25,5,3,2,900,41,14,27,0,34.15,0.78,-1.63,4.16,-2.77,-16.50,647.00,1.50,-0.40
15,0.25,20,4,25,6,2,2,600,39,10,28,1,25.64,0.72,-1.96,4.12,-2.04,-16.00,568.00,2.02,-0.41
15,0.25,20,4,25,6,2,2,900,39,10,28,1,25.64,0.72,-1.96,4.12,-2.04,-16.00,568.00,2.02,-0.41
15,0.25,20,4,25,6,3,2,600,39,11,28,0,28.21,0.59,-3.49,4.05,-2.71,-31.25,853.00,1.50,-0.80
15,0.25,20,4,25,6,3,2,900,39,11,28,0,28.21,0.59,-3.49,4.05,-2.71,-31.25,853.00,1.50,-0.80
15,0.25,20,4,25,7,2,2,600,39,8,30,1,20.51,0.53,-4.03,4.16,-2.11,-30.00,828.00,1.97,-0.77
15,0.25,20,4,25,7,2,2,900,39,8,30,1,20.51,0.53,-4.03,4.16,-2.11,-30.00,828.00,1.97,-0.77
15,0.25,20,4,25,7,3,2,600,39,8,31,0,20.51,0.42,-6.01,4.38,-2.72,-49.25,1193.00,1.61,-1.26
15,0.25,20,4,25,7,3,2,900,39,8,31,0,20.51,0.42,-6.01,4.38,-2.72,-49.25,1193.00,1.61,-1.26
15,0.25,20,4,25,8,2,2,600,39,7,31,1,17.95,0.43,-5.52,4.25,-2.25,-40.00,1008.00,1.89,-1.03
15,0.25,20,4,25,8,2,2,900,39,7,31,1,17.95,0.43,-5.52,4.25,-2.25,-40.00,1008.00,1.89,-1.03
15,0.25,20,4,25,8,3,2,600,39,7,32,0,17.95,0.35,-7.49,4.93,-3.05,-63.00,1448.00,1.62,-1.62
15,0.25,20,4,25,8,3,2,900,39,7,32,0,17.95,0.35,-7.49,4.93,-3.05,-63.00,1448.00,1.62,-1.62
15,0.25,20,4,30,5,2,2,600,41,13,27,1,31.71,0.94,-0.35,4.08,-2.08,-3.25,507.00,1.96,-0.08
