min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
15,0.25,20.0,4,25,5,2,2.0,600,41,13,27,1,31.70731707317073,0.94,-0.35,4.08,-2.08,-3.25,507.0,1.9615384615384615,-0.07609756097560982
15,0.25,20.0,4,25,5,2,2.0,900,41,13,27,1,31.70731707317073,0.94,-0.35,4.08,-2.08,-3.25,507.0,1.9615384615384615,-0.07609756097560982
15,0.25,20.0,4,25,5,3,2.0,600,41,14,27,0,34.146341463414636,0.78,-1.63,4.16,-2.77,-16.5,647.0,1.5018050541516246,-0.40365853658536577
15,0.25,20.0,4,25,5,3,2.0,900,41,14,27,0,34.146341463414636,0.78,-1.63,4.16,-2.77,-16.5,647.0,1.5018050541516246,-0.40365853658536577
15,0.25,20.0,4,25,6,2,2.0,600,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.25,20.0,4,25,6,2,2.0,900,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.25,20.0,4,25,6,3,2.0,600,39,11,28,0,28.205128205128204,0.59,-3.49,4.05,-2.71,-31.25,853.0,1.4944649446494465,-0.8033333333333335
15,0.25,20.0,4,25,6,3,2.0,900,39,11,28,0,28.205128205128204,0.59,-3.49,4.05,-2.71,-31.25,853.0,1.4944649446494465,-0.8033333333333335
15,0.25,20.0,4,25,7,2,2.0,600,39,8,30,1,20.51282051282051,0.53,-4.03,4.16,-2.11,-30.0,828.0,1.9715639810426542,-0.7697435897435897
15,0.25,20.0,4,25,7,2,2.0,900,39,8,30,1,20.51282051282051,0.53,-4.03,4.16,-2.11,-30.0,828.0,1.9715639810426542,-0.7697435897435897
15,0.25,20.0,4,25,7,3,2.0,600,39,8,31,0,20.51282051282051,0.42,-6.01,4.38,-2.72,-49.25,1193.0,1.6102941176470587,-1.2635897435897439
15,0.25,20.0,4,25,7,3,2.0,900,39,8,31,0,20.51282051282051,0.42,-6.01,4.38,-2.72,-49.25,1193.0,1.6102941176470587,-1.2635897435897439
15,0.25,20.0,4,25,8,2,2.0,600,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
15,0.25,20.0,4,25,8,2,2.0,900,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
15,0.25,20.0,4,25,8,3,2.0,600,39,7,32,0,17.94871794871795,0.35,-7.49,4.93,-3.05,-63.0,1448.0,1.616393442622951,-1.6176923076923073
15,0.25,20.0,4,25,8,3,2.0,900,39,7,32,0,17.94871794871795,0.35,-7.49,4.93,-3.05,-63.0,1448.0,1.616393442622951,-1.6176923076923073
15,0.25,20.0,4,30,5,2,2.0,600,41,13,27,1,31.70731707317073,0.94,-0.35,4.08,-2.08,-3.25,507.0,1.9615384615384615,-0.07609756097560982
15,0.25,20.0,4,30,5,2,2.0,900,41,13,27,1,31.70731707317073,0.94,-0.35,4.08,-2.08,-3.25,507.0,1.9615384615384615,-0.07609756097560982
